id,kategori,context,input_raw,output_formal
DSN0058,izin_absen,dosen,bu saya izin telat karena macet,"Bu, mohon maaf, saya kemungkinan terlambat mengikuti perkuliahan karena kendala perjalanan, Bu. Terima kasih 🙏"
DSN0059,izin_absen,dosen,pak saya jaringan jelek jadi keluar zoom,"Pak, mohon maaf, saya terkendala jaringan sehingga keluar dari Zoom, Pak. Terima kasih 🙏"
DSN0060,izin_absen,dosen,ass bu saya izin ga ikut presentasi hari ini,"Assalaamu'alaikum Bu, mohon izin, saya belum dapat mengikuti presentasi hari ini, Bu. Terima kasih 🙏"
DSN0061,absensi,dosen,pa absen saya belum masuk,"Pak, mohon izin, saya ingin mengonfirmasi karena absensi saya tampaknya belum tercatat, Pak. Terima kasih 🙏"
DSN0062,absensi,dosen,bu saya tadi hadir tapi belum keabsen,"Bu, mohon izin, saya hadir pada perkuliahan tadi, tetapi absensi saya belum tercatat, Bu. Terima kasih 🙏"
DSN0063,absensi,dosen,pak absennya dimana,"Pak, mohon izin bertanya, absensi perkuliahan hari ini dilakukan melalui media apa ya, Pak? Terima kasih 🙏"
DSN0064,absensi,dosen,bu link absen belum ada,"Bu, mohon izin bertanya, apakah tautan absensi sudah dibagikan, Bu? Terima kasih 🙏"
DSN0065,absensi,dosen,ass pak saya lupa absen,"Assalaamu'alaikum Pak, mohon maaf, saya lupa mengisi absensi. Apakah masih dapat diperbaiki, Pak? Terima kasih 🙏"
DSN0066,absensi,dosen,aslm bu absen saya salah nama,"Assalaamu'alaikum Bu, mohon izin, saya ingin mengonfirmasi karena terdapat kesalahan pada data absensi saya, Bu. Terima kasih 🙏"
DSN0067,absensi,dosen,pa absensi saya kehitung izin ya,"Pak, mohon izin bertanya, apakah absensi saya tercatat sebagai izin, Pak? Terima kasih 🙏"
DSN0068,absensi,dosen,bu saya hadir di zoom tapi absen belum masuk,"Bu, mohon izin, saya hadir melalui Zoom, tetapi absensi saya belum tercatat, Bu. Terima kasih 🙏"
DSN0069,absensi,dosen,pak boleh cek absen saya,"Pak, mohon izin, apakah Bapak berkenan membantu mengecek absensi saya, Pak? Terima kasih 🙏"
DSN0070,absensi,dosen,ass bu absen ditutup cepat,"Assalaamu'alaikum Bu, mohon izin, saya belum sempat mengisi absensi karena tautannya sudah tertutup, Bu. Terima kasih 🙏"
DSN0071,link_online,dosen,pa link zoom mana,"Pak, mohon izin bertanya, apakah Bapak berkenan membagikan tautan Zoom untuk perkuliahan hari ini, Pak? Terima kasih 🙏"
DSN0072,link_online,dosen,bu gmeet nya belum ada,"Bu, mohon izin bertanya, apakah tautan Google Meet untuk kelas hari ini sudah tersedia, Bu? Terima kasih 🙏"
DSN0073,link_online,dosen,pak kelas online pake link yang mana,"Pak, mohon izin bertanya, kelas online hari ini menggunakan tautan yang mana ya, Pak? Terima kasih 🙏"
DSN0074,link_online,dosen,bu link zoom kemarin masih dipake ga,"Bu, mohon izin bertanya, apakah tautan Zoom sebelumnya masih digunakan untuk perkuliahan hari ini, Bu? Terima kasih 🙏"
DSN0075,link_online,dosen,ass pak saya belum dapet link kelas,"Assalaamu'alaikum Pak, mohon izin, saya belum mendapatkan tautan kelas online hari ini, Pak. Terima kasih 🙏"
DSN0076,link_online,dosen,aslm bu link meet error,"Assalaamu'alaikum Bu, mohon izin, tautan Google Meet yang saya akses mengalami kendala, Bu. Terima kasih 🙏"
DSN0077,link_online,dosen,pa password zoomnya apa,"Pak, mohon izin bertanya, apakah ada password untuk masuk ke Zoom, Pak? Terima kasih 🙏"
DSN0078,link_online,dosen,bu saya tidak bisa join zoom,"Bu, mohon izin, saya mengalami kendala saat bergabung ke Zoom, Bu. Terima kasih 🙏"
DSN0079,link_online,dosen,pak rekaman zoom bisa dibagikan ga,"Pak, mohon izin bertanya, apakah rekaman Zoom perkuliahan dapat dibagikan, Pak? Terima kasih 🙏"
DSN0080,link_online,dosen,ass bu link kelas belum bisa dibuka,"Assalaamu'alaikum Bu, mohon izin, tautan kelas yang dibagikan belum dapat saya buka, Bu. Terima kasih 🙏"
DSN0081,nilai,dosen,pa nilai saya kok belum keluar,"Pak, mohon izin bertanya, apakah nilai saya sudah dapat dilihat atau masih dalam proses, Pak? Terima kasih 🙏"
DSN0082,nilai,dosen,bu saya mau tanya nilai tugas,"Bu, mohon izin, saya ingin bertanya mengenai nilai tugas saya, Bu. Terima kasih 🙏"
DSN0083,nilai,dosen,pak nilai uts saya kosong,"Pak, mohon izin, saya ingin mengonfirmasi karena nilai UTS saya belum tercantum, Pak. Terima kasih 🙏"
DSN0084,nilai,dosen,bu nilai uas saya bisa dicek,"Bu, mohon izin, apakah Ibu berkenan membantu mengecek nilai UAS saya, Bu? Terima kasih 🙏"
DSN0085,nilai,dosen,ass pak saya mau konfirmasi nilai,"Assalaamu'alaikum Pak, mohon izin, saya ingin mengonfirmasi nilai saya pada mata kuliah ini, Pak. Terima kasih 🙏"
DSN0086,nilai,dosen,aslm bu nilai saya beda sama yang diinfo,"Assalaamu'alaikum Bu, mohon izin, saya ingin mengonfirmasi perbedaan nilai yang tercantum dengan informasi sebelumnya, Bu. Terima kasih 🙏"
DSN0087,nilai,dosen,pa remedial nilainya kapan keluar,"Pak, mohon izin bertanya, nilai remedial akan diumumkan kapan ya, Pak? Terima kasih 🙏"
DSN0088,nilai,dosen,bu boleh minta rincian nilai,"Bu, mohon izin, apakah saya dapat mengetahui rincian penilaian saya, Bu? Terima kasih 🙏"
DSN0089,nilai,dosen,pak nilai akhir belum masuk siakad,"Pak, mohon izin, saya ingin mengonfirmasi karena nilai akhir saya belum tercantum di SIAKAD, Pak. Terima kasih 🙏"
DSN0090,nilai,dosen,ass bu nilai saya bisa direvisi ga,"Assalaamu'alaikum Bu, mohon izin, apakah saya diperbolehkan mengajukan pengecekan ulang nilai, Bu? Terima kasih 🙏"
DSN0091,revisi,dosen,pa revisi tugas saya bagian mana,"Pak, mohon izin bertanya, bagian mana dari tugas saya yang perlu direvisi, Pak? Terima kasih 🙏"
DSN0092,revisi,dosen,bu revisinya dikumpul kapan,"Bu, mohon izin bertanya, revisi tugas dikumpulkan paling lambat kapan ya, Bu? Terima kasih 🙏"
DSN0093,revisi,dosen,pak saya sudah revisi tugas,"Pak, mohon izin, saya sudah melakukan revisi tugas sesuai arahan Bapak. Terima kasih 🙏"
DSN0094,revisi,dosen,bu boleh cek revisi saya,"Bu, mohon izin, apakah Ibu berkenan memeriksa revisi yang sudah saya kerjakan, Bu? Terima kasih 🙏"
DSN0095,revisi,dosen,ass pak revisi saya kirim lewat mana,"Assalaamu'alaikum Pak, mohon izin bertanya, revisi tugas saya kirimkan melalui media apa ya, Pak? Terima kasih 🙏"
DSN0096,revisi,dosen,aslm bu apakah revisi saya sudah sesuai,"Assalaamu'alaikum Bu, mohon izin, apakah revisi yang saya kerjakan sudah sesuai dengan arahan Ibu? Terima kasih 🙏"
DSN0097,revisi,dosen,pa saya belum paham revisinya,"Pak, mohon izin, saya masih belum memahami bagian revisi yang perlu diperbaiki, Pak. Terima kasih 🙏"
DSN0098,revisi,dosen,bu boleh revisi ulang ga,"Bu, mohon izin bertanya, apakah saya diperbolehkan melakukan revisi ulang, Bu? Terima kasih 🙏"
DSN0099,revisi,dosen,pak catatan revisinya dimana,"Pak, mohon izin bertanya, catatan revisi dapat saya lihat di mana ya, Pak? Terima kasih 🙏"
DSN0100,revisi,dosen,ass bu saya sudah upload revisi,"Assalaamu'alaikum Bu, mohon izin, saya sudah mengunggah revisi tugas, Bu. Terima kasih 🙏"
DSN0101,konsultasi,dosen,pa saya mau konsultasi boleh,"Pak, mohon izin, apakah saya dapat melakukan konsultasi dengan Bapak? Terima kasih 🙏"
DSN0102,konsultasi,dosen,bu kapan bisa bimbingan,"Bu, mohon izin bertanya, kapan saya dapat melakukan bimbingan dengan Ibu? Terima kasih 🙏"
DSN0103,konsultasi,dosen,pak ada waktu buat diskusi tugas,"Pak, mohon izin, apakah Bapak memiliki waktu untuk berdiskusi mengenai tugas saya? Terima kasih 🙏"
DSN0104,konsultasi,dosen,bu saya mau tanya project,"Bu, mohon izin, saya ingin berkonsultasi mengenai project yang sedang saya kerjakan, Bu. Terima kasih 🙏"
DSN0105,konsultasi,dosen,ass pak bisa konsultasi online ga,"Assalaamu'alaikum Pak, mohon izin bertanya, apakah konsultasi dapat dilakukan secara online, Pak? Terima kasih 🙏"
DSN0106,konsultasi,dosen,aslm bu hari ini bisa bimbingan,"Assalaamu'alaikum Bu, mohon izin bertanya, apakah hari ini Ibu memiliki waktu untuk bimbingan, Bu? Terima kasih 🙏"
DSN0107,konsultasi,dosen,pa besok boleh ketemu sebentar,"Pak, mohon izin, apakah besok saya dapat bertemu sebentar untuk konsultasi, Pak? Terima kasih 🙏"
DSN0108,konsultasi,dosen,bu saya mau minta arahan,"Bu, mohon izin, saya ingin meminta arahan terkait tugas atau materi perkuliahan, Bu. Terima kasih 🙏"
DSN0109,konsultasi,dosen,pak boleh saya chat soal proposal,"Pak, mohon izin, apakah saya boleh bertanya melalui chat mengenai proposal saya, Pak? Terima kasih 🙏"
DSN0110,konsultasi,dosen,ass bu saya butuh masukan project,"Assalaamu'alaikum Bu, mohon izin, saya ingin meminta masukan Ibu terkait project yang saya kerjakan, Bu. Terima kasih 🙏"
DSN0111,presentasi,dosen,pa urutan presentasi gimana,"Pak, mohon izin bertanya, bagaimana urutan presentasi untuk pertemuan ini, Pak? Terima kasih 🙏"
DSN0112,presentasi,dosen,bu kelompok saya presentasi kapan,"Bu, mohon izin bertanya, kelompok saya dijadwalkan presentasi kapan ya, Bu? Terima kasih 🙏"
DSN0113,presentasi,dosen,pak presentasi boleh pakai canva ga,"Pak, mohon izin bertanya, apakah presentasi diperbolehkan menggunakan Canva, Pak? Terima kasih 🙏"
DSN0114,presentasi,dosen,bu durasi presentasi berapa menit,"Bu, mohon izin bertanya, durasi presentasi yang ditentukan berapa menit ya, Bu? Terima kasih 🙏"
DSN0115,presentasi,dosen,ass pak kelompok kami siap presentasi,"Assalaamu'alaikum Pak, mohon izin, kelompok kami sudah siap untuk melakukan presentasi, Pak. Terima kasih 🙏"
DSN0116,presentasi,dosen,aslm bu anggota saya tidak hadir,"Assalaamu'alaikum Bu, mohon izin, salah satu anggota kelompok saya tidak dapat hadir pada presentasi hari ini, Bu. Terima kasih 🙏"
DSN0117,presentasi,dosen,pa slide presentasi harus dikumpul ga,"Pak, mohon izin bertanya, apakah slide presentasi perlu dikumpulkan, Pak? Terima kasih 🙏"
DSN0118,presentasi,dosen,bu presentasi individu apa kelompok,"Bu, mohon izin bertanya, presentasi dilakukan secara individu atau kelompok, Bu? Terima kasih 🙏"
DSN0119,presentasi,dosen,pak boleh ganti jadwal presentasi,"Pak, mohon izin, apakah kelompok kami diperbolehkan mengganti jadwal presentasi, Pak? Terima kasih 🙏"
DSN0120,presentasi,dosen,ass bu saya izin telat presentasi,"Assalaamu'alaikum Bu, mohon maaf, saya kemungkinan terlambat mengikuti presentasi hari ini, Bu. Terima kasih 🙏"
DSN0121,ujian,dosen,pa utsnya kapan,"Pak, mohon izin bertanya, UTS mata kuliah ini dilaksanakan kapan ya, Pak? Terima kasih 🙏"
DSN0122,ujian,dosen,bu uasnya online atau offline,"Bu, mohon izin bertanya, UAS dilaksanakan secara online atau offline ya, Bu? Terima kasih 🙏"
DSN0123,ujian,dosen,pak materi uts apa aja,"Pak, mohon izin bertanya, materi apa saja yang perlu dipelajari untuk UTS, Pak? Terima kasih 🙏"
DSN0124,ujian,dosen,bu kisi kisi ada ga,"Bu, mohon izin bertanya, apakah ada kisi-kisi ujian yang dapat dipelajari, Bu? Terima kasih 🙏"
DSN0125,ujian,dosen,ass pak saya izin ujian susulan,"Assalaamu'alaikum Pak, mohon izin, apakah saya dapat mengikuti ujian susulan, Pak? Terima kasih 🙏"
DSN0126,ujian,dosen,aslm bu saya bentrok jadwal ujian,"Assalaamu'alaikum Bu, mohon izin, jadwal ujian saya bentrok dengan kegiatan lain. Apakah ada solusi yang dapat saya ikuti, Bu? Terima kasih 🙏"
DSN0127,ujian,dosen,pa format soal uts gimana,"Pak, mohon izin bertanya, format soal UTS seperti apa ya, Pak? Terima kasih 🙏"
DSN0128,ujian,dosen,bu boleh pakai catatan pas ujian,"Bu, mohon izin bertanya, apakah ujian diperbolehkan menggunakan catatan, Bu? Terima kasih 🙏"
DSN0129,ujian,dosen,pak ujian mulai jam berapa,"Pak, mohon izin bertanya, ujian dimulai pukul berapa ya, Pak? Terima kasih 🙏"
DSN0130,ujian,dosen,ass bu link ujian belum ada,"Assalaamu'alaikum Bu, mohon izin bertanya, apakah tautan ujian sudah dibagikan, Bu? Terima kasih 🙏"
DSN0131,pengumpulan,dosen,pa saya sudah submit tugas,"Pak, mohon izin, saya sudah mengumpulkan tugas melalui media yang ditentukan, Pak. Terima kasih 🙏"
DSN0132,pengumpulan,dosen,bu tugas saya sudah saya kirim,"Bu, mohon izin, tugas saya sudah saya kirimkan, Bu. Terima kasih 🙏"
DSN0133,pengumpulan,dosen,pak file tugas saya bisa dibuka ga,"Pak, mohon izin, apakah file tugas yang saya kirimkan dapat dibuka dengan baik, Pak? Terima kasih 🙏"
DSN0134,pengumpulan,dosen,bu saya salah upload file,"Bu, mohon maaf, saya salah mengunggah file tugas. Apakah saya diperbolehkan mengunggah ulang, Bu? Terima kasih 🙏"
DSN0135,pengumpulan,dosen,ass pak saya sudah upload di classroom,"Assalaamu'alaikum Pak, mohon izin, saya sudah mengunggah tugas di Google Classroom, Pak. Terima kasih 🙏"
DSN0136,pengumpulan,dosen,aslm bu file saya corrupt,"Assalaamu'alaikum Bu, mohon maaf, file tugas yang saya kirimkan mengalami kendala. Apakah saya boleh mengirim ulang, Bu? Terima kasih 🙏"
DSN0137,pengumpulan,dosen,pa boleh kirim tugas lewat wa,"Pak, mohon izin bertanya, apakah tugas boleh dikirim melalui WhatsApp, Pak? Terima kasih 🙏"
DSN0138,pengumpulan,dosen,bu saya belum bisa upload tugas,"Bu, mohon izin, saya mengalami kendala saat mengunggah tugas, Bu. Terima kasih 🙏"
DSN0139,pengumpulan,dosen,pak tugas saya udah masuk belum,"Pak, mohon izin, apakah tugas saya sudah diterima dengan baik, Pak? Terima kasih 🙏"
DSN0140,pengumpulan,dosen,ass bu saya kirim ulang tugas,"Assalaamu'alaikum Bu, mohon izin, saya mengirim ulang tugas karena terdapat perbaikan pada file sebelumnya, Bu. Terima kasih 🙏"
DSN0141,izin_terlambat,dosen,pa saya telat karena hujan,"Pak, mohon maaf, saya kemungkinan terlambat mengikuti kelas karena kendala cuaca, Pak. Terima kasih 🙏"
DSN0142,izin_terlambat,dosen,bu saya telat karena motor mogok,"Bu, mohon maaf, saya kemungkinan terlambat mengikuti kelas karena kendaraan saya mengalami kendala, Bu. Terima kasih 🙏"
DSN0143,izin_terlambat,dosen,pak saya telat join zoom,"Pak, mohon maaf, saya terlambat bergabung ke Zoom, Pak. Terima kasih 🙏"
DSN0144,izin_terlambat,dosen,bu saya baru bisa masuk sekarang,"Bu, mohon maaf, saya baru dapat bergabung ke perkuliahan sekarang, Bu. Terima kasih 🙏"
DSN0145,izin_terlambat,dosen,ass pak saya telat 10 menit,"Assalaamu'alaikum Pak, mohon maaf, saya kemungkinan terlambat sekitar 10 menit, Pak. Terima kasih 🙏"
DSN0146,izin_terlambat,dosen,aslm bu saya terkendala sinyal,"Assalaamu'alaikum Bu, mohon maaf, saya mengalami kendala sinyal sehingga terlambat mengikuti kelas, Bu. Terima kasih 🙏"
DSN0147,izin_terlambat,dosen,pa saya izin masuk telat,"Pak, mohon izin, saya kemungkinan masuk kelas terlambat, Pak. Terima kasih 🙏"
DSN0148,izin_terlambat,dosen,bu saya telat karena ada kegiatan kampus,"Bu, mohon maaf, saya kemungkinan terlambat karena masih mengikuti kegiatan kampus, Bu. Terima kasih 🙏"
DSN0149,izin_terlambat,dosen,pak saya baru sampai kampus,"Pak, mohon maaf, saya baru sampai di kampus dan segera menuju kelas, Pak. Terima kasih 🙏"
DSN0150,izin_terlambat,dosen,ass bu saya lagi di jalan,"Assalaamu'alaikum Bu, mohon maaf, saya masih dalam perjalanan menuju kelas, Bu. Terima kasih 🙏"
DSN0151,data_mahasiswa,dosen,pa nama saya salah di daftar,"Pak, mohon izin, saya ingin mengonfirmasi karena nama saya tertulis kurang tepat pada daftar, Pak. Terima kasih 🙏"
DSN0152,data_mahasiswa,dosen,bu nim saya salah input,"Bu, mohon izin, saya ingin mengonfirmasi karena NIM saya tampaknya salah tercatat, Bu. Terima kasih 🙏"
DSN0153,data_mahasiswa,dosen,pak data kelompok saya salah,"Pak, mohon izin, saya ingin mengonfirmasi data kelompok saya yang tampaknya belum sesuai, Pak. Terima kasih 🙏"
DSN0154,data_mahasiswa,dosen,bu saya belum masuk grup kelas,"Bu, mohon izin, saya belum tergabung dalam grup kelas. Apakah Ibu berkenan membantu menginformasikan tautannya, Bu? Terima kasih 🙏"
DSN0155,data_mahasiswa,dosen,ass pak nama saya belum ada di absen,"Assalaamu'alaikum Pak, mohon izin, nama saya belum tercantum pada daftar absensi, Pak. Terima kasih 🙏"
DSN0156,data_mahasiswa,dosen,aslm bu saya pindah kelas,"Assalaamu'alaikum Bu, mohon izin, saya ingin mengonfirmasi terkait perpindahan kelas saya, Bu. Terima kasih 🙏"
DSN0157,data_mahasiswa,dosen,pa nim saya belum kebaca,"Pak, mohon izin, NIM saya belum terbaca pada sistem, Pak. Terima kasih 🙏"
